Sno,Name (Party),Total Assets in Lok Sabha 2024,Total Assets in Lok Sabha 2019,Asset Increase,% Increase in Asset,Remarks
295,Rajiv Pratap Rudy (BJP),"8,37,11,2198 Crore+","8,07,40,3498 Crore+","29,70,87029 Lacs+",4%,
296,Vijay Baghel (BJP),"3,71,62,9503 Crore+","3,44,29,0273 Crore+","27,33,92327 Lacs+",8%,
298,Ajay Tamta (BJP),"1,23,81,6631 Crore+","99,10,44899 Lacs+","24,71,21524 Lacs+",25%,
299,Ravindar Kushawaha (BJP),"2,94,66,5162 Crore+","2,70,31,7242 Crore+","24,34,79224 Lacs+",9%,
300,K Subbarayan (CPI),"1,04,31,2711 Crore+","80,35,57680 Lacs+","23,95,69523 Lacs+",30%,
301,Kodikunnil Suresh (INC),"1,53,12,3241 Crore+","1,29,65,1291 Crore+","23,47,19523 Lacs+",18%,
302,Bellana Chandrasekhar (YSRCP),"2,20,00,7752 Crore+","2,10,35,7662 Crore+","9,65,0099 Lacs+",5%,PAN is Different
303,Nisith Pramanik (BJP),"1,05,12,6991 Crore+","96,29,81096 Lacs+","8,82,8898 Lacs+",9%,
304,Mahendra Singh Solanky (BJP),"38,17,39938 Lacs+","38,12,46438 Lacs+","4,9354 Thou+",0%,
305,Bhanu Pratap Singh Verma (BJP),"96,59,84496 Lacs+","1,06,99,5161 Crore+","-10,39,672",-10%,
307,Sushil Kumar Rinku (BJP),"1,53,55,9331 Crore+","1,70,17,4021 Crore+","-16,61,469",-10%,Age Difference=2Party in last election was AAP
308,A. M Ariff (CPI(M)),"1,32,16,3021 Crore+","1,52,68,9061 Crore+","-20,52,604",-13%,
309,Giridhari Yadav (JD(U)),"1,72,81,1011 Crore+","1,98,16,0501 Crore+","-25,34,949",-13%,
310,Ajay Nishad (INC),"29,62,91,68729 Crore+","29,88,67,48629 Crore+","-25,75,799",-1%,Party in last election was BJP
311,Dhairyasheel Sambhajirao Mane (Shiv Sena),"4,51,31,7594 Crore+","4,77,71,4624 Crore+","-26,39,703",-6%,Party in last election was SHS
312,Prasun Banerjee (AITC),"1,03,60,1341 Crore+","1,32,16,0661 Crore+","-28,55,932",-22%,
313,Simranjit Singh Mann (Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)),"12,85,15,86012 Crore+","13,26,57,28613 Crore+","-41,41,426",-3%,Age Difference=2Party in last election was SAD (Amritsar)(Simranjit Singh Mann)
314,Dr. Alok Kumar Suman (JD(U)),"2,67,13,2302 Crore+","3,27,39,9033 Crore+","-60,26,673",-18%,
316,Selvam. G (DMK),"2,36,15,1262 Crore+","4,81,72,9364 Crore+","-2,45,57,810",-51%,
317,Preneet Kaur (BJP),"60,78,53,56160 Crore+","63,59,73,75763 Crore+","-2,81,20,196",-4%,Party in last election was INC
318,Sunil Baburao Mendhe (BJP),"59,27,50,78359 Crore+","62,75,43,61562 Crore+","-3,47,92,832",-6%,
319,Kesineni Srinivas (Nani) (YSRCP),"77,32,92,38177 Crore+","80,81,52,41580 Crore+","-3,48,60,034",-4%,Party in last election was TDP
320,Shankar Lalwani (BJP),"1,95,22,4121 Crore+","5,90,38,5085 Crore+","-3,95,16,096",-67%,
321,T R Paarivendhar (BJP),"93,23,03,61393 Crore+","97,27,30,36897 Crore+","-4,04,26,755",-4%,Party in last election was DMK
322,C R Patil (BJP),"39,49,30,04439 Crore+","44,60,44,26944 Crore+","-5,11,14,225",-11%,
323,Harsimrat Kaur Badal (SAD),"1,98,51,83,903198 Crore+","2,17,99,19,870217 Crore+","-19,47,35,967",-9%,
325,S Jagathratchakan (DMK),"53,45,87,82853 Crore+","1,14,69,84,897114 Crore+","-61,23,97,069",-53%,
Candidates who have problem in their last election affidavits,,,,,,
